date,province,subcategory,actual_inflation,svr_prediction,ann_prediction
2026-06-01,NUSA TENGGARA BARAT,Barang Pecah Belah dan Peralatan Makan Minum,0.12,0.1497644591920757,0.25328607328776187
2026-06-01,KEPULAUAN RIAU,Tekstil Rumah Tangga,0.0,-0.28923779408853,0.04923548795950561
2026-06-01,KALIMANTAN UTARA,Peralatan Rumah Tangga,0.26,-0.1064387211815987,0.17181160367571144
2026-06-01,DI YOGYAKARTA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.24,-0.15137702500750727,0.2835926623373878
2026-06-01,MALUKU,Peralatan Rumah Tangga,-0.02,-0.07452986448357457,0.19622658670847978
2026-06-01,SULAWESI TENGGARA,Tekstil Rumah Tangga,-0.18,0.10033721121758354,0.04052138791039864
2026-06-01,KEPULAUAN BANGKA BELITUNG,Peralatan Rumah Tangga,0.07,-0.09947100354843919,0.1790258074013831
2026-06-01,ACEH,Furnitur Perlengkapan dan Karpet,0.64,-0.017838280951126606,0.270740562293441
2026-06-01,KEPULAUAN BANGKA BELITUNG,Furnitur Perlengkapan dan Karpet,0.0,-0.04455998336173117,0.25713355343688604
2026-06-01,MALUKU,Peralatan dan Perlengkapan Perumahan dan Kebun,0.38,-0.18672155757382747,0.08379676146347312
2026-06-01,BENGKULU,Total,0.1,-0.14487205369625578,-0.034556728339542875
2026-06-01,BENGKULU,Tekstil Rumah Tangga,0.0,-0.19357375632771046,0.0017476804668484225
2026-06-01,SUMATERA UTARA,Peralatan Rumah Tangga,0.07,0.3858889016824545,0.13556386484931346
2026-06-01,KEPULAUAN BANGKA BELITUNG,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.12,-0.020922135654112495,0.2844888074848123
2026-06-01,SULAWESI TENGGARA,Peralatan dan Perlengkapan Perumahan dan Kebun,0.16,0.1628880647171851,0.06721000757702608
2026-06-01,MALUKU,Tekstil Rumah Tangga,-1.23,-0.27796982928840386,0.06684675366161696
2026-06-01,MALUKU UTARA,Furnitur Perlengkapan dan Karpet,7.0,0.007358568992890113,0.2631942010667586
2026-06-01,KEPULAUAN BANGKA BELITUNG,Barang Pecah Belah dan Peralatan Makan Minum,0.0,0.05689838202196107,0.3015149215616493
2026-06-01,SUMATERA UTARA,Total,0.03,0.2992222192140641,0.05070547153302793
2026-06-01,DI YOGYAKARTA,Barang Pecah Belah dan Peralatan Makan Minum,0.12,-0.06084827994644293,0.3283288820964406
2026-06-01,KALIMANTAN UTARA,Total,0.19,-0.23966153534258616,0.021455377677982113
2026-06-01,MALUKU UTARA,Barang Pecah Belah dan Peralatan Makan Minum,1.42,0.13176035593865798,0.26030846715423916
2026-06-01,ACEH,Peralatan Rumah Tangga,3.27,0.016613635395982485,0.22458586054763005
2026-06-01,MALUKU,Furnitur Perlengkapan dan Karpet,0.04,-0.00576024195692959,0.2751103899851407
2026-06-01,SULAWESI TENGGARA,Total,0.13,0.08214111876723074,-0.002211026534786803
2026-06-01,SULAWESI TENGGARA,Peralatan Rumah Tangga,-0.17,0.21549516254188994,0.06862322103656374
2026-06-01,KALIMANTAN UTARA,Tekstil Rumah Tangga,0.02,-0.29459936003606835,0.030796383274129646
2026-06-01,MALUKU UTARA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.27,0.04978930113577995,0.27222669697938695
2026-06-01,SUMATERA UTARA,Furnitur Perlengkapan dan Karpet,0.18,0.36915813150451093,0.12215786565331951
2026-06-01,KALIMANTAN UTARA,Peralatan dan Perlengkapan Perumahan dan Kebun,0.0,-0.20820302067321883,0.059444568323699015
